title;album;release year;additional info;lyrics
Tear;By The Way;2002;;"This is my time, this is my tear
I can see clearly now that this is not a place for playing solitaire
Tell me where you want me
This is my time, this is my tear
Coming on strong, Baudelaire
Seems to me like all the world gets high when you take a dare
Let it rise before you
This is my crime
All in all and I'm loving every rise and fall
The sun will make and I will take breath to be sure of this
In the end and then all will be forgiven when
Surrender rises high and I gave what I came to give
Say it now because you never know
Devil may cry, Devil may care
Distiller's got a scream an' now I know just why when she's movin' air
Can you feel the voltage
This is my time
California skies got room to spare
This is my time
All in all and I'm loving every rise and fall
The sun will make and I will take breath to be sure of this
In the end and then all will be forgiven when
Surrender rises high and I gave what I came to give
Say it now because you never know
Aw, never know
Take it outside, take it out there
Seems to me like all the world gets high when you take a dare
In the final moment
This is my time
All in all and I'm loving every rise and fall
The sun will make and I will take breath to be sure of this
In the end and then all will be forgiven when
Surrender rises high and I gave what I came to give
Say it now because you never know
Aw, never know
"
On Mercury;By The Way;2002;;"I've got myself in a masochistic hold
Why don't you let go?
Shake it off just to redirect my flow
Come on, let's go
Sit up straight, I'm on a double date
I've got to find my way into the light, heavy, middleweight
We don't stop rock around the clock
Motor-mouthing off in front of every other road block
Come again and tell me
What you're going through
Like a girl who only knew
Her child was due
Memories of everything of lemon trees on Mercury and
Come to me with remedies from five or six of seven seas and
You always took me with a smile when I was down
Memories of everything that blew through
Looking up into a reverse vertigo
What an undertow
Give it up, another stubborn Scorpio
Come on, let's go
Sit up straight, I'm on a double date
I've got to find my way into the light, heavy, middleweight
We don't stop, rock around the clock
Motor-mouthing off in front of every other road block
Come again and tell me
What you're going through
Like a girl who only knew
Her child was due
To the moon she gave
Another good review
Turn around and look at me
It's really, really you
Memories of everything of lemon trees on Mercury and
Come to me with remedies from five or six of seven seas and
You always took me with a smile when I was down
Memories of everything that blew through
Sit up straight, I'm on a double date
I've got to find my way into the light, heavy, middleweight
We don't stop, rock around the clock
Motor-mouthing off in front of every other road block
Memories of everything of lemon trees on Mercury and
Come to me with remedies from five or six of seven seas and
You always took me with a smile when I was down
Memories of everything that blew through
Memories of everything of lemon trees on Mercury and
Come to me with remedies from five or six of seven seas and
You always took me with a smile when I was down
Memories of everything that blew through
"
Minor Thing;By The Way;2002;;"I change the key from C to D
You see to me it's just a minor thing, y'all
He knows everything
To readjust you've got to trust
That all the fuss is just a minor thing, y'all
He knows everything
It's just a minor thing and I'm a minor king
He knows everything
Ooh, ooh-ooh
Ooh, ooh-ooh
You've got your bit part, Mozart
Hot dart acceleration
Pop art, pistol chasing
Catfight intimidation
Oh, oh, oh, oh
To read a mind you've got to re-
Define the line to make your circle sing, y'all
He knows everything
You make a sound, the spell is bound
To come around, it's just a minor thing, y'all
He knows everything
It's just a minor thing and I'm a minor king
He knows everything
Ooh, ooh-ooh
Ooh, ooh-ooh
You've got your bit part, Mozart
Hot dart acceleration
Pop art, pistol chasing
Catfight intimidation
All out interfacing
Black star motivation
Vampire, sugar junkie
Databasing infiltration
I change the key from C to D
You see to me it's just a minor thing, y'all
He knows everything
To readjust you've got to trust
That all the fuss is just a minor thing, y'all
He knows everything
It's just a minor thing and I'm a minor king
It's just a minor thing and I'm a minor king
"
Warm Tape;By The Way;2002;;"Shiver for me, girl
Deliver for me, my darling
Ah, pushing up to you
A river that runs right through you
Swim for your smile in a Blue Rock Quarry
Make it for me, baby, you won't be sorry
Shiver for me now
Deliver for me, my darling
Miles and miles of nether worlds I roam
Settle for love you never far from home
Carry me down into the waters of
Carry me down into the water of love
Two of us were made of angel's dust
I've been around, but not around enough
Shadow my free form
A woman that I could keep warm
Quiver for me, girl
Give me your head and shoulders
Shot from the pages of love and glory
Sleeping next to you and I'm in your story
Shadow my free form
A woman that I could keep warm
Miles and miles of nether worlds I roam
Settle for love I'm never far from home
Carry me down into the waters of
Carry me down into the water of love
Two of us were made of angel's dust
I've been around, but not around enough
Let's go
I know I make it for two
Intuition's only what you take from it
I know I make it for two
You were there and I was fortunate
I know I make it for two
Messy bed a part of cheating I won't fall for you
I know I make it for two, I make it for two, I make it for two and
Shiver for me now
Deliver for me, my darling
A living that I could
Be giving to you, my sweet love
Swim for your smile in a Blue Rock Quarry
Make it for me, baby, you won't be sorry
Shot from the pages of love and glory
Sleeping next to you and I'm in your dreams
Settle for love
Settle for love
Settle for love
"
Venice Queen;By The Way;2002;;"Does it go from east to west, y'all
Body free and a body less, y'all
Come again just to start afresh and
Once again to find a home
In the moment of the meantime
Dropping in coming through the mesh, y'all
Checking in just to get it blessed, y'all
Hard to leave when it's picturesque and
Find a form that's free to roam
Where you come from, where you're going?
Where you come from, where you're going?
Do it all then it all again, y'all
Make it up and you make a friend, y'all
Paddle on just around the bend and
Find a place where you can see
All the mamas and the papas
Take a chance on a recommend, y'all
Hard as hell just to comprehend, y'all
Disbelief that I do suspend and
Easy now to find a breeze
Where you come from, where you're going?
Where you come from, where you're going?
We all want to tell her, tell her that we love her
Venice gets a queen, best I've ever seen
We all want to kiss her, tell her that we miss her
Venice gets a queen, best I've ever
I know you said you don't believe in God
We used to disagree
Now that it's time for you to leave
G-L-O-R-I-A
Is love, my friend
My friend, my friend
Your stylish mess of silver hair
A woman of your kind is rare
Your uniform returns to air
G-L-O-R-I-A
Is love, my friend
My friend, my friend
And now it's time for you to go
You taught me most of all I know
Where would I be without you, Glo?
G-L-O-R-I-A
Is love, my friend
My friend, my friend
I see you standing by the sea
The waves you made will always be
Your kiss goodbye before you leave
G-L-O-R-I-A
Is love, my friend
My friend, my friend
"
Time;By The Way;2002;Bonus Track;"I was walking through a courtyard
Without shoes and
Without regard
Automatic catacombs
Take me where I wanna go
All around
All in phases
It astounds
And amazes
Built to last and known to roam
Touch me on my chromosome
One time
Fascinated by the face of time
One time
I got it to give and now we're going to make some time
Ultra-fine and altruistic
Can I spy into the mystic
System's down for infiltration
Open mind free of frustration
I was driving
To a safe place
And arriving
As I retraced
Yell into a telescope
Aim it at the star of hope
One time
Fascinated by the face of time
One time
I got it to give and now we're going to make some time
All over the under
The smell of blood and thunder
I'm connected by the lightning rod
Giving the beauty to it
Heaven knows how well I know you
Ultra-fine and altruistic
Can I spy into the mystic
System's down for infiltration
Open mind free of frustration
All around
All in phases
It astounds
And amazes
Built to last and known to roam
Touch me on my chromosome
One time
Fascinated by the face of time
One time
I got it to give and now we're going to make some time
All over the under
The smell of blood and thunder
I'm connected by the lightning rod
Giving the beauty to it
Heaven knows how well I know you
Time 
Time 
Time 
Time 
Time 
Time
"
Runaway;By The Way;2002;Bonus Track;"Walking around
All over town
Walking it out
When you want to
Soldiering, my style is smiling
Turn it in, do whatever I choose and
Take me now, to the water
Don't be late, I hear it's
Gonna be so very great and
Out the door I'm walking like a runaway
All the reasons that I count up you can't haul away and
More and more, I'm a walking like a runaway
Kick it around
Stare at the ground
Breaking it down
When you want to
Soldiering my days I've chosen
Dance around, do whatever I want to
Take me now, it's the water
Don't be late, I hear it's
Gonna be so very great and
Out the door I'm walking like a runaway
All the reasons that I count up you can't haul away and
More and more, I'm a walking like a runaway
I think I know, everything you're gonna say
I think you know, why I wanna run away
Don't be late, I hear it's
Gonna be so very great and
Out the door I'm walking like a runaway
All the reasons that I count up you can't haul away and
More and more, I'm a walking like a runaway
All the reasons that I count up you can't haul away and
More and more, I'm a walking like a runaway
More and more, I'm a walking like a runaway
Out the door, I'm a walking like a runaway
"
Bicycle Song;By The Way;2002;Bonus Track;"Here she comes in a suit and tie
Shepard's bush and a leopard's pie
She marching to the funky beat of
James Brown and his dancing feet
Going to set your fish on fire
Pistol whipping of desire
So please do not resist your fate
I'll pick you up, yes it's a date
How could I forget to mention the bicycle is a good invention?
Sitting there in a silent movie
Beside the only girl who really ever knew me
Happy days, but sad I'm facing
Heaven knows that I'm on the case
How could I forget to mention the bicycle?
Somebody told the world
The beauty of your verse
My girl, I heard it first
The beauty of your verse
A sticky finger and a wicked taste
Got a lot of love and a lyrical case
Be sure to write it in your book
I promise not to look
Want to smell your sunny face
Funny place but it's never a waste
I'd hop this fence to make amends
I hope this movie never ends
How could I forget to mention the bicycle is a good invention?
Make it up, making you my business
A funny buttercup but I lend her forgiveness
Happy days, but sad I'm facing
Heaven knows that I'm on the case
How could I forget to mention the bicycle?
Somebody told the world
The beauty of your verse
My girl, I heard it first
The beauty of your verse
Somebody told the world
The beauty of your verse
My girl, I heard it first
The beauty of your verse
"
Dani California;Stadium Arcadium;2006;;"Gettin' born in the state of Mississippi
Poppa was a copper and her momma was a hippie
In Alabama, she would swing a hammer
Price you gotta pay when you break the panorama
She never knew that there was anything more than poor
What in the world, what does your company take me for?
Black bandanna, sweet Louisiana
Robbin' on a bank in the state of Indiana
She's a runner, rebel and a stunner
On her merry way sayin', ""Baby, what you gonna—?""
Lookin' down the barrel of a hot metal .45
Just another way to survive
California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess, I'm your priest, yeah, yeah
She's a lover, baby and a fighter
Shoulda seen her comin' when it got a little brighter
With a name like Dani California
Day was gonna come when I was gonna mourn ya
A little loaded, she was stealin' another breath
I love my baby to death
California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess, I'm your priest, yeah, yeah
Who knew the other side of you?
Who knew what others died to prove?
Too true to say goodbye to you
Too true to say, say, say
Push the fader, gifted animator
One for the now and eleven for the later
Never made it up to Minnesota
North Dakota man was a gunnin' for the quota
Down in the Badlands, she was savin' the best for last
It only hurts when I laugh
Gone too fast
California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess, I'm your priest, yeah, yeah
California, rest in peace (Do svidaniya)
Simultaneous release (California)
California, show your teeth (Do svidaniya)
She's my priestess, I'm your priest, yeah, yeah
"
Snow (Hey Oh);Stadium Arcadium;2006;;"Come to decide that the things that I tried
Were in my life just to get high on
When I sit alone, come get a little known
But I need more than myself this time
Step from the road to the sea to the sky
And I do believe that we rely on
When I lay it on, come get to play it on
All my life to sacrifice
Hey, oh
Listen what I say, oh
I got your hey, oh
Now listen what I say, oh
(Oh)
When will I know that I really can't go
To the well once more time to decide on
When it's killing me, when will I really see
All that I need to look inside?
Come to believe that I better not leave
Before I get my chance to ride
When it's killing me, what do I really need
All that I need to look inside?
Hey, oh
Listen what I say, oh
Come back and hey, oh
Look at what I say, oh
(Oh)
The more I see, the less I know
The more I like to let it go
Hey oh, whoa-whoa
Deep beneath the cover of another perfect wonder
Where it's so white as snow
Privately divided by a world so undecided
And there's nowhere to go
In between the cover of another perfect wonder
And it's so white as snow
Running through the field where all my tracks will be concealed
And there's nowhere to go
Ho!
When to descend to amend for a friend
All the channels that have broken down
Now you bring it up, I'm gonna ring it up
Just to hear you sing it out
Step from the road to the sea to the sky
And I do believe what we rely on
When I lay it on, come get to play it on
All my life to sacrifice
Hey, oh
Listen what I say, oh
I got your hey, oh
Listen what I say, oh
The more I see, the less I know
The more I like to let it go
Hey oh, whoa-whoa
Deep beneath the cover of another perfect wonder
Where it's so white as snow
Privately divided by a world so undecided
And there's nowhere to go
In between the cover of another perfect wonder
Where it's so white as snow
Running through the field where all my tracks will be concealed
And there's nowhere to go
I said hey, hey yeah (Ooh)
Oh yeah, tell my love now (Ooh)
Hey, hey yeah (Ooh-ooh-ooh)
Oh yeah, tell my love now
Deep beneath the cover of another perfect wonder
Where it's so white as snow
Privately divided by a world so undecided
And there's nowhere to go
Deep beneath the cover of another perfect wonder
Where it's so white as snow
Running through the field where all my tracks will be concealed
And there's nowhere to go
I said hey, oh yeah (Ooh)
Oh yeah, tell my love now (Ooh)
Hey, hey yeah, oh yeah (Ooh-ooh-ooh)
Ooh-ooh
Ooh-ooh
"
Charlie;Stadium Arcadium;2006;;"All aboard, stitch in time
Get yours, got mine
In a minute I'll be there
Sit tight, get square
(Tic-tic-tic-tic-tic-tic-tic-tic)
You can do it at the hippodrome
(One, one, one, one, one, one more)
Slide back, trombone
(Wait, wait, wait, wait, wait, wait, wait, wait)
Anybody got a TV at home?
(One, one, one, one, one, one more)
That's right, unknown
When I pick up on that smell, pick it up and run like hell
Little woman, save me some, better get up on your run
(Huh)
So much more than—
Charlie's wakin' me
To my core and—
And Charlie's shakin' me
And tell my story
And Charlie's makin' me—
And Charlie's makin' me smile
Oh, whoa, now
(Tic-tic-tic-tic-tic-tic-tic-tic-tic)
(One, one, one, one, one, one more)
(Wait, wait, wait, wait, wait, wait, wait, wait)
(One, one, one, one, one, one more)
Everybody do the twist
Get the message on Flea's fists
Move around like a scientist
Lay down, get kissed
(Tic-tic-tic-tic-tic-tic-tic-tic)
Big picture and it never lies
(One, one, one, one, one, one more)
Big daddy will advice
(Wait, wait, wait, wait, wait, wait, wait, wait)
EverReady in disguise
(One, one, one, one, one, one more)
Sunset, sunrise
When I pick up on that smell, pick it up and run like hell
Little woman, save me some, better get up on your run
So much more than—
Charlie's wakin' me
To my core and—
And Charlie's shakin' me
And tell my story
And Charlie's makin' me—
And Charlie's makin' me smile
Oh, whoa, now
My heart, your skin
This love, I'm in
We don't arrive without a surprise
You're right, I'm wrong
Be free, be wrong
Intimate sight has come into light
When I pick up on that smell, pick it up and run like hell
Little woman, save me some, better get up on your run
All I ever wanted to was pick it up and run with you
Slip it into a summer spell, double up and run like hell
(Huh)
So much more than—
Charlie's wakin' me
To my core and—
And Charlie's shakin' me
And tell my story
And Charlie's makin' me—
And Charlie's makin' me smile
No, whoa, now
My heart, your skin
This love, I'm in
We don't arrive without a surprise
You're right, I'm wrong
Be free, be wrong
Intimate sight has come into light
My heart, your skin
This love, I'm in
We don't arrive without a surprise
You're right, I'm wrong
Be free, be wrong
Intimate sight has come into light
"
Stadium Arcadium;Stadium Arcadium;2006;;"Bells around St. Petersburg when I saw you
I hope I get what you deserve
And this is where I find—
Smoke surrounds your perfect face and I'm falling
Pushing a broom out into space
And this where I find a way
The Stadium Arcadium
A mirror to the moon (Mirror to the moon)
Well, I'm forming and I'm warming (Warming to you)
State of the art until the clouds come crashing
Stranger things have happened
Both before and after noon (Before and after noon)
Well, I'm forming and I'm warming (Warming to you)
Pushing myself and, no, I don't mind asking now
Alone inside my forest room and it's storming
I never thought I'd be in bloom, but this is where I start
(Derelict days, and the stereo plays for the all night crowd that it cannot phase)
And I'm calling
(Tedious weeds that the media breeds, but the animal gets what the animal needs)
And I'm sorry
The Stadium Arcadium
A mirror to the moon (Mirror to the moon)
Well, I'm forming and I'm warming (Warming to you)
State of the art until the clouds come crashing
Stranger things have happened
Both before and after noon (Before and after noon)
Well, I'm forming and I'm warming (Warming to you)
Pushing myself and, no, I don't mind asking now
And this is where I find
Rays of dust that wrap around your citizen
Kind enough to disavow, and this is where I stand
The Stadium Arcadium
A mirror to the moon (Mirror to the moon)
Well, I'm forming and I'm warming (Warming to you)
State of the art until the clouds come crashing
Stranger things have happened
Both before and after noon (Before and after noon)
Well, I'm forming and I'm warming (Warming to you)
Pushing myself and, no, I don't mind asking
The Stadium Arcadium
A mirror to the moon (Mirror to the moon)
Well, I'm forming and I'm warming (Warming to you)
State of the art until the clouds come crashing
Stranger things have happened
Both before and after noon (Before and after noon)
Well I'm forming and I'm warming (Warming to you)
To you
"
Hump De Bump;Stadium Arcadium;2006;;"(Gon' getchya, gon' shake ya)
Whoa!
(Gon' getchya, gon' shake ya)
(Gon' getchya, gon' shake ya)
(Gon' getchya, gon' shake ya)
Forty detectives this week
Forty detectives strong
Takin' a stroll down Love Street
Strollin', is that so wrong?
Can I get my co-defendant?
Hump de bump doop bodu
Bump de hump doop bop
Hump de bump doop bodu
(Oh no!)
Bump de hump doop bodu
Hump de bump doop bop
Bump de hump doop bodu
Bump, bump
(Whoa)
It must have been a hundred miles, or any of a hundred styles
It's not about the smile you wear, but the way we make out
When I was another loner, nothin' but a two beach comber
Anybody seen the sky?
I'm— I'm wide awake now
Workin' the beat as we speak
Workin' the belle du monde
Believe in the havoc we wreak
Believin', is that so wrong?
Can I get my co-dependent?
Hump de bump doop bodu
Bump de hump doop bop
Hump de bump doop bodu
Bump de hump doop bodu
Hump de bump doop bop
Bump de hump doop bodu
Bump, bump
(C'mon!)
It must have been a hundred miles, or any of a hundred styles
It's not about the smile you wear, but the way we make out
When I was another loner, nothin' but a two beach comber
Anybody seen the sky?
I'm— I'm wide awake now
(Gon' getchya, gon' shake ya)
(Gon' getchya, gon' shake ya)
(Gon' getchya, gon' shake ya)
(Gon' getchya, gon' shake ya)
(Gon' getchya, gon' shake ya)
(Gon' getchya, gon' shake ya)
(Gon' getchya, gon' shake ya)
(Gon' getchya)
Hump de bump doop bodu
Bump de hump doop bop
Hump de bump doop bodu
(Oh no!)
Bump de hump doop bodu
Hump de bump doop bop
Bump de hump doop bodu
Bump, bump
Listen to me, what I said
Try to get it through your head
A little bit of circumstance and a chance to make out
Livin' in a citadel, it's hard enough to be yourself
Waiting for the bell to toll and I am wide awake now
It must have been a hundred miles, or any of a hundred styles
It's not about the smile you wear, but the way we make out
When I was another loner, nothin' but a two beach comber
Anybody seen the sky?
I'm, I'm wide awake now
"
She's Only 18;Stadium Arcadium;2006;;error
Slow Cheetah;Stadium Arcadium;2006;;"One, two, three, four
Waking up dead, inside of my head
Would never, never do
There is no med— No medicine to take
I've had a chance to be insane, asylum from the falling rain
I've had a chance to break
It's so bad, it's got to be good
Mysterious girl misunderstood, dressed like a wedding cake
Any other day and I might play a funeral march for Bonnie Brae
Why try and run away?
Slow cheetah, come before my forest
Looks like it's on today
Slow cheetah, come, it's so euphoric
No matter what they say
I knew a girl
She worked in a store, she knew not what her life was for
She barely knew her name
They tried to tell her she would never be as happy as a girl in a magazine
She bought it with her pay
Slow cheetah, come before my forest
Looks like it's on today
Slow cheetah, come, it's so euphoric
No matter what they say
Everyone has so much to say
They talk, talk, talk their lives away
Don't even hesitate
Walking on down to the burial ground
It's a very old dance with a merry old sound
Looks like it's on today
Slow cheetah, come before my forest
Looks like it's on today
Slow cheetah, come, it's so euphoric
No matter what they say
Slow cheetah, come before my forest
Looks like it's on today
Slow cheetah, come, it's so euphoric
No matter what they say
"
Torture Me;Stadium Arcadium;2006;;"Because I'm happy to be sad
I want it all, I want it bad
Ooh-oh-oh-oh-oh, it's what I know
A vintage year for pop I hear, the middle of the end is near
Let's go, oh-oh-oh-oh
It's what I know
Torture me and torture me
Forcing me and so torture me, please
(Oh, no, my Lord)
Torture me with sorcery
(Oh, no, my time)
Forcing me, so torture me, please
All the leaves are turning brown
The wind is pushing me around
Let's go, oh-oh-oh-oh
It's what I know
Torture me and torture me
Forcing me and so torture me, please
(Oh, no, my Lord)
Torture me with sorcery
(Oh, no, my time)
Forcing me, so torture me, please
The will of God is standing still
Brazilian children get their fill, let's go
Let's turn it up and dumb it down
The vision of your ultra sound is so—
But all the leaves are turning brown
The wind is pushing me around, let's go
A vintage year for pop I hear
The middle of the end is near, it's so—
(Oh)
(Oh, no, my Lord)
Torture me and torture me
(Oh, no, my time)
It's forcing me, so torture me, please
(Oh, no, my Lord)
Torture me with sorcery
(Oh, no, my time, baby)
Forcing me, so torture me, please
(Oh, no, my Lord)
Torture me and torture me
(Oh, no, my time)
It's forcing me and so torture me, please
(Oh, no, my Lord)
Torture me with sorcery
(Oh, no, my time)
Forcing me, so torture me, please
"
Strip My Mind;Stadium Arcadium;2006;;error
Especially In Michigan;Stadium Arcadium;2006;;"Life is my friend, rake it up to take it in
Wrap me in your cinnamon, especially in Michigan
Well, I could be your friend
White clouds, I'm in a mitten full of fisherman
C'mon, Huckleberry Finn, show me how to make her grin
Well, I'm in Michigan
Cry me a future where the revelations run amok
Ladies and gentlemen
Lions and tigers come running just to steal your luck
Uh-uck, uh-uck
(A rainy Lithuanian, who's dancing as an Indian)
(Painted in my tiger skin, especially in Michigan)
Double chins and bowling pins, unholy Presbyterians
Land is full of medicine, I find it when I'm slipping in
(The tainted new librarian, who fainted when she tucked you in)
Well, I'm in Michigan
(Let's float away like zeppelins on stoic gusts of Northern wind)
Cry me a future where the revelations run amok
Ladies and gentlemen
Lions and tigers come running just to steal your luck
Uh-uck, uh-uck
Out on the farm, we'll be swimming with the mother duck
Deep in the mitten
Where lions and tigers come running just to steal your luck
Uh-uck, uh-uck
Life is my friend, underwater violins
Order now from Ho Chi Min, a porcelain that comes in twins
(Throw me in the loony bin, 'cause I can take it on the chin)
When I'm in Michigan
(The cleavage of your pillow skin is moving like a violin)
Cry me a future where the revelations run amok
Ladies and gentlemen
Lions and tigers come running just to steal your luck
Uh-uck, uh-uck
Out on the farm, we'll be swimming with the mother duck
Deep in the mitten
Where lions and tigers come running just to steal your luck
Uh-uck, uh-uck
Yeah
"
Warlocks;Stadium Arcadium;2006;;"Warlocks in wonderland
I've gotta megatropolis in my hand
And a subterranean marching band
Makin' noise for the boys in the Vatican
And a— A little package and off we go
Oh, ticky-ticky, tackita, tic-tac-toe
I know everybody's Eskimo
We've got another thing coming and that's our show, well
Every night I go looking for you
Every one in the world adores you
A little pocket of something kind to find your reason
Coming up on it everyday for—
Look at me and it's what I stay for
A little locket of fantasy that we believe in
Lilacs and contraband
I've got Santa Monica in my hand
A little Beatlemania when I can
And I've got two big bags of old Japan, oh
Ring side and blow-by-blow
Another main event at the old rainbow
We're comin' right on top of the tupelo
When she looks just like Brigitte Bardot
Every night I go looking for you
Every one in the world adores you
A little pocket of something kind to find your reason
Coming up on it everyday for—
Look at me and it's what I stay for
A little locket of fantasy that we believe in
Make a deal with Uncle Weezer, sign your name to claim
Chi— China Chow will try to please her
Sweetness came from Jane
Warlocks in wonderland
I've gotta Rockapotomus in my hand
With a happy ending that's made of sand
With a little bit of lovin', is all I can
Every night I go looking for you
Every one in the world adores you
A little pocket of something kind to find your reason
Coming up on it everyday for—
Look at me and it's what I stay for
A little locket of fantasy that we believe in
Every night I go looking for you
Every one in the world adores you
A little pocket of something kind to find your reason
Coming up on it everyday for—
Look at me and it's what I stay for
A little locket of fantasy that we believe in now
"
C'mon Girl;Stadium Arcadium;2006;;"Everything inside of me is burning up for you to see
And if we should get into it, a two way kind of syndicate
Hold me
Compare us to a Ferris wheel, just be sure what you want to steal
Some people do it by the book, but I prefer to go by feel
Tell me
I wanted to get out of here, but every time I reappear
Now, I have the words, my dear, to whisper right into your ear
Hey, yeah!
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
The spirit of a dragon's tear is lovely at this time of year
The cave within your mountainside is deeper than it'll be wide
Hold me
My disenchanted diplomat, asleep inside the laundromat
Conveyer belts are moving and I want you to be sure of that
Tell me
And if you let it germinate, I know it will be worth the wait
Disputed by the news, that it was you who tried to instigate
Hey, yeah!
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
Blessed are the hypocrites outwitted, but she never quits
The trouble with a band of slits is washing off the muddy bits
Hey, yeah!
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
C'mon, girl, let's get it right (Oh)
Let's get it right, let's get it right (Let's go!)
Oh, yeah!
She's with me and I'm your man
If I can't find you, no one can
(Whoa!)
Haha-haha-haha-haha-haha-haha
"
Wet Sand;Stadium Arcadium;2006;;"My shadow side, so amplified, keeps coming back dissatisfied
Elementary sun, but it's so—
My love affair, with everywhere, was innocent
Why do you care?
Someone start the car, time to go
You're the best I know
My sunny side has up and died
I'm betting that, when we collide, the universe will shift into a low
The travesties that we have seen are treating me like Benzedrine
Automatic laughter from a pro
My, what a good day for a walk outside
I'd like to get to know you a little better, baby
God knows that I really tried
My, what a good day for a— Take out bride
I'd like to say we did it for the better of–
I saw you there so unaware, those hummingbirds all in your hair
Elementary sun, but it's so—
The disrepair of Norma Jean could not compare to your routine
Balarama beauty goin' toe to toe
My, what a good day for a— Let it slide
I'd like to say we did it for the better of–
I thought about it and I brought it out
I'm motivated by the lack of doubt
I'm consecrated, but I'm not devout
The mother, the father, the daughter
Yeah!
(Uuh-uh-uh)
Right on the verge, just one more dose
I'm traveling from coast to coast
My theory isn't perfect, but it's close
(Uuh-uh-uh)
I'm almost there, why should I care?
My heart is hurting when I share
Someone open up, let it show
My, what a good day for a walk outside
I'd like to think we did it for the better of–
Yeah!
I thought about it and I brought it out
I'm motivated by the lack of doubt
I'm consecrated, but I'm not devout
The mother, the father, the daughter
Oh, you don't form in the wet sand
You don't form at all
Whoa, you don't form in the wet sand
I do, yeah
You don't form in the wet sand
You don't form at all
Whoa, you don't form in the wet sand
I do
Yeah!
"
Hey;Stadium Arcadium;2006;;"Won't somebody come along and teach me how to keep it alive to survive?
Come along and show me something that I never knew in your eyes
Take away the tourniquet
I used to be so full of my confidence
I used to know just what I wanted and just where to go
More than ever I could use a coincidence
But, now I walk alone and talk about it when I know
Hey, oh yeah, how long?
I guess I ought to walk away
Hey, oh yeah, so long
What you gonna do today?
I don't wanna have to, but I will, if that's what I'm supposed to do
We don't wanna set up for the kill, but that's what I'm about to do
Let it on, I'll cut you off when you're screaming into the phone
Hard to own
Anyway, I wanna let you know that everything is on hold
What you gonna do to me?
You used to be so warm and affectionate
All the little things I used to hear my fairy say
But, now you're quick to get into your regret
I'll take the fall and now you got to give it all away
Hey, oh yeah, how long?
I guess I ought to walk away
Hey, oh yeah, so long
What you gonna do today?
I don't wanna have to, but I will, if that's what I'm supposed to do
We don't wanna set up for the kill, but that's what I'm about to do
I don't wanna have to, but I will, if that's what I'm supposed to do
We don't wanna set up for the kill, but that's what I'm about to do
(Hey) Hey, what would you say if I stayed?
Stayed for a while, if I may (Oh)
Say it again and I'll come around, but not for the last time
(Hey) Hey, what would you say if I changed?
I'll change everything but my name (Oh)
Play it again and I'll come around, come around
But not for the last time, not for the last time
You used to be so warm and affectionate
I used to know just what I wanted and just where to go
And now you're quick to get into your regret
And now I walk alone and talk about it when I know
Hey, oh yeah, how long?
I guess you gotta walk away
Hey, oh yeah, so long
What you gonna do today?
Hey, oh yeah, how long?
I guess you gotta get away
Hey, oh yeah, so long
What you gonna do today?
"
Desecration Smile;Stadium Arcadium;2006;;"All alone not by myself
Another girl bad for my health
I've seen it all through someone else
And I
Another girl bad for my health
I celebrated but undisturbed
And serenaded by the terror bird
It's seldom seen and it's never heard, oh
Serenaded by the terror bird
Never in the wrong time or wrong place
Desecration is the smile on my face
The love I made is the shape of my space
My face, my face
Disintegrated by the rising sun
A rolling blackout of oblivion
And I like to think that I'm your number one, now
I'm rolling blackout of oblivion
I wanna leave but I just get stuck
A broken record runnin' low on luck
There's heavy metal coming from your truck
And I'm
I'm a broken record runnin' low on luck
Never in the wrong time or wrong place
Desecration is the smile on my face
The love I made is the shape of my space
My face, my face
We could all go down to Malibu and make some noise
Coca Cola doesn't do the justice she enjoys
We could all come up with something new to be destroyed
We could all go down
I love the feeling when it falls apart
I'm slow to finish but I'm quick to start and
Beneath the heather lies the meadowlark
And I'm
Slow to finish but I'm quick to start
Never in the wrong time or wrong place
Desecration is the smile on my face
The love I made is the shape of my space
My face, my face
Never in the wrong time or wrong place
Desecration is the smile on my face
The love I made is the shape of my space
My face, my face
Yeah
"
